nome,sexo,data,hora,especie,xestimate,yestimate,id_poligon,classe,classe_bin,peso,micropaisa,mapa_bin2_
1163,2,2013-11-29,07:16,2,320912,7459159,338,pasto,N_MATA,89,1,          -120.00000
1163,2,2013-11-29,07:47,2,321194,7459067,8,veg,MATA,89,1,            10.00000
1163,2,2013-11-29,08:02,2,321171,7459118,8,veg,MATA,89,1,            40.00000
1163,2,2013-11-29,08:17,2,321089,7459222,338,pasto,N_MATA,89,1,           -72.11100
1163,2,2013-11-29,08:35,2,321115,7459099,8,veg,MATA,89,1,            36.05550
1163,2,2013-11-29,08:41,2,321126,7459068,8,veg,MATA,89,1,            36.05550
1163,2,2013-11-29,08:53,2,321191,7459165,8,veg,MATA,89,1,           -10.00000
1163,2,2013-11-29,09:10,2,321118,7459068,8,veg,MATA,89,1,            28.28430
1203,2,2014-02-22,07:01,1,320347,7460642,160,veg,MATA,84,3,           -10.00000
1203,2,2014-02-22,07:15,1,320447,7460556,173,pasto,N_MATA,84,3,           -22.36070
1203,2,2014-02-22,07:30,1,320437,7460544,173,pasto,N_MATA,84,3,           -28.28430
1203,2,2014-02-22,08:00,1,320577,7460376,173,pasto,N_MATA,84,3,          -152.31500
1203,2,2014-02-22,08:15,1,320493,7460390,173,pasto,N_MATA,84,3,           -84.85280
1203,2,2014-02-22,08:30,1,320432,7460412,165,pasto,N_MATA,84,3,           -72.80110
1203,2,2014-02-22,08:45,1,320351,7460377,165,pasto,N_MATA,84,3,           -10.00000
1203,2,2014-02-22,09:00,1,320677,7460212,76,pasto,N_MATA,84,3,          -202.23700
1203,2,2014-02-22,09:15,1,320532,7460474,173,pasto,N_MATA,84,3,          -100.00000
1203,2,2014-02-22,09:45,1,320286,7460657,32,res,N_MATA,84,3,           -28.28430
1203,2,2014-02-22,10:25,1,320321,7460531,160,veg,MATA,84,3,            22.36070
1203,2,2014-02-22,13:30,1,320374,7460633,32,res,N_MATA,84,3,           -28.28430
1203,2,2014-02-22,13:45,1,320407,7460656,160,veg,MATA,84,3,            14.14210
1203,2,2014-02-22,14:00,1,320365,7460661,32,res,N_MATA,84,3,           -10.00000
1203,2,2014-03-02,07:00,1,320517,7460449,166,plant,N_MATA,84,3,          -120.00000
1203,2,2014-03-02,07:10,1,320613,7460578,173,pasto,N_MATA,84,3,           -53.85160
1203,2,2014-03-02,07:45,1,320298,7460699,160,veg,MATA,84,3,            10.00000
1203,2,2014-03-02,07:55,1,320292,7460735,160,veg,MATA,84,3,            50.99020
1203,2,2014-03-02,08:15,1,320208,7460694,160,veg,MATA,84,3,            20.00000
1203,2,2014-03-02,08:25,1,320158,7460663,32,res,N_MATA,84,3,           -10.00000
1203,2,2014-03-02,08:35,1,320181,7460693,160,veg,MATA,84,3,            10.00000
1203,2,2014-03-02,08:45,1,320128,7460634,32,res,N_MATA,84,3,           -10.00000
1203,2,2014-03-02,08:55,1,320113,7460771,160,veg,MATA,84,3,            22.36070
1203,2,2014-03-02,09:05,1,320267,7460346,164,pasto,N_MATA,84,3,           -50.00000
1203,2,2014-03-02,09:30,1,320321,7460545,160,veg,MATA,84,3,            10.00000
1203,2,2014-03-02,09:50,1,320708,7460314,76,pasto,N_MATA,84,3,          -235.37200
1203,2,2014-03-02,10:00,1,320340,7460485,165,pasto,N_MATA,84,3,           -20.00000
1203,2,2014-03-02,10:20,1,320341,7460507,160,veg,MATA,84,3,            10.00000
1203,2,2014-03-02,10:30,1,320297,7460511,165,pasto,N_MATA,84,3,           -10.00000
1203,2,2014-03-02,10:40,1,320393,7460469,165,pasto,N_MATA,84,3,           -56.56850
1203,2,2014-03-02,12:00,1,320259,7460635,32,res,N_MATA,84,3,           -22.36070
1203,2,2014-03-03,08:00,1,320255,7460540,164,pasto,N_MATA,84,3,           -22.36070
1203,2,2014-03-03,08:20,1,320324,7460605,32,res,N_MATA,84,3,            10.00000
1203,2,2014-03-03,08:30,1,320407,7460508,165,pasto,N_MATA,84,3,           -22.36070
1203,2,2014-03-03,08:40,1,320400,7460537,160,veg,MATA,84,3,            14.14210
1203,2,2014-03-03,08:50,1,320414,7460457,165,pasto,N_MATA,84,3,           -72.80110
